,en,fr,traduction_helsinki,traduction_gpt,traduction_google
0,Decorate your home for the holidays with these festive lights. ,Décorez votre chez-vous pour les fêtes avec ces lumières festives.,Décorez votre maison pour les vacances avec ces lumières festives.,Décorez votre maison pour les fêtes avec ces lumières festives.,Décorer votre maison pour les fêtes avec ces étoiles festivités.
1,"In the churchyard, there are interesting marble sculptures of doves over some tombs.","Dans le cimetière, on trouve d'intéressantes sculptures en marbre représentant des colombes sur certaines tombes.","Dans la cour de l'église, il y a d'intéressantes sculptures en marbre de colombes au-dessus de quelques tombes.","Dans le cimetière, il y a d'intéressantes sculptures en marbre de colombes au-dessus de certaines tombes.","Dans le jardin de la église, il y a des sculptures de marbre intéressantes de pêches sur des tombes."
2,"Bipedal specializations are found in Australopithecus fossils from 4.2-3.9 million years ago, although Sahelanthropus may have walked on two legs as early as seven million years ago.","On trouve des spécialisations bipèdes dans les fossiles d’Australopithecus d’il y a 4,2 à 3,9 millions d’années, bien que le Sahelanthropus ait pu marcher sur deux jambes il y a déjà sept millions d’années.","On trouve des spécialisations bipédiques dans les fossiles d'Australopithecus de 4,2 à 3,9 millions d'années auparavant, bien que l'anthrope sahélien ait peut-être marché sur deux pattes il y a sept millions d'années.","Des spécialisations bipèdes sont observées dans les fossiles d'Australopithèque datant de 4,2 à 3,9 millions d'années, bien que le Sahelanthropus ait pu marcher sur deux jambes dès il y a sept millions d'années.","Les spécifications bipedales sont trouvées dans les fossiles de l'Autropia d'environ 4,2 à 3,9 millions d'âge, bien que Sahelanthropus aurait pu se déplacer sur deux femelles dès l'âge de 7 millions d'âge."
3,"Although three people were inside the house when the car impacted it, none of them were hurt.","Bien que trois personnes aient été présentes dans la maison quand la voiture l'a percutée, aucune n'a été blessée.","Bien que trois personnes se trouvaient à l'intérieur de la maison lorsque la voiture l'a touchée, aucune d'entre elles n'a été blessée.","Bien que trois personnes se trouvaient à l'intérieur de la maison lorsque la voiture l'a percutée, aucune d'elles n'a été blessée.","Bien que trois personnes étaient à l'intérieur de la maison quand le voiture s'affectait, aucune d'elles n'a été blessée."
4,"A course will normally cover all the issues discussed here in far greater detail, usually with practical experience.","Un cours couvrira normalement toutes les questions abordées ici de manière beaucoup plus détaillée, généralement avec une expérience pratique.","Un cours portera normalement sur toutes les questions abordées ici de manière beaucoup plus détaillée, généralement avec une expérience pratique.","Un cours couvrira normalement toutes les questions abordées ici en bien plus de détail, généralement avec une expérience pratique.","Une formation s'étendra généralement à tous les questions évoquées ici en profondeur, en utilisant généralement une expérience pratique."
5,"A simple popular dinner, especially during the summer, is the Pa amb Oli: Bread with olive oil, tomato, and any available condiments such as cheese, tunafish, etc.","Un dîner simple et populaire, surtout en été, est le Pa amb Oli : du pain avec de l'huile d'olive, de la tomate et tous les condiments disponibles, tels que le fromage, le thon, etc.","Un simple dîner populaire, surtout pendant l'été, est le Pa amb Oli: Pain à l'huile d'olive, tomate, et tous les condiments disponibles tels que le fromage, thon, etc.","Un dîner simple et populaire, surtout pendant l'été, est le Pa amb Oli : pain avec de l'huile d'olive, de la tomate, et tout condiment disponible tel que du fromage, du thon, etc.","Une simple et populaire supper, en particulier pendant la saison, est la Pa amb Oli : Pan avec l'huile d'olive, le tomato et touts condiments disponibles tels que la chèvre, le tuna, etc."
6,"As the HIV-positive population ages, issues such as hypertension and diabetes must be taken into account when initiating ART.","À mesure que la population VIH-positive vieillit, il faut tenir compte de problèmes comme l’hypertension et le diabète au moment d’amorcer des antirétroviraux.","À mesure que la population séropositive vieillit, des questions telles que l'hypertension et le diabète doivent être prises en compte lors de l'initiation du TAR.","À mesure que la population séropositive au VIH vieillit, des problèmes tels que l'hypertension et le diabète doivent être pris en compte lors du démarrage de la TAR.","Comme la population positive à la VIH agisse, les questions telles que la hypertension et la diabète doivent être pris en compte lorsqu'on ait en train d'initier l'ART."
7,"The Chaco region was home to other groups of indigenous tribes such as the Guaycurú and Payaguá, who survived by hunting, gathering and fishing.","D'autres tribus indigènes qui peuplaient le Chaco, telles que les Guaycurú ou encore les Payaguá, survivaient essentiellement grâce à la pêche, la chasse, ou encore la cueillette.","La région du Chaco abrite d ' autres groupes de tribus autochtones comme les Guaycurú et Payaguá, qui ont survécu à la chasse, à la cueillette et à la pêche.","La région du Chaco était le foyer d'autres groupes de tribus indigènes tels que les Guaycurú et les Payaguá, qui survivaient en chassant, en cueillant et en pêchant.","La région du Chaco était l'hôte d'autres groupes de tribes autochtones comme les Guaycur et Payaguá, qui s'établiront par la chasse, la collectivité et la pêche."
8,"Turkey would also take over guarding captured ISIS fighters which, the statement said, European nations have refused to repatriate.","La Turquie prendrait également en charge la garde des combattants d'ISIS capturés que, selon la déclaration, les nations européennes ont refusé de rapatrier.","La Turquie prendrait également le contrôle des combattants de l'Etat islamique capturés qui, selon la déclaration, ont refusé de rapatrier les nations européennes.","La Turquie prendrait également en charge la garde des combattants de l'EI capturés, que, selon la déclaration, les nations européennes ont refusé de rapatrier.","L'État partie serait également chargé de la garde des combattants de l'ISIS qui, selon la déclaration, ont été retombés par les pays européens."
9,"Late on Sunday, the United States President Donald Trump, in a statement delivered via the press secretary, announced US troops would be leaving Syria.","Tard dimanche, le président des États-Unis Donald Trump, dans une déclaration faite par l'intermédiaire du secrétaire de presse, a annoncé que les troupes américaines allaient se retirer de la Syrie.","À la fin de dimanche, le président américain Donald Trump, dans une déclaration prononcée par l'intermédiaire du secrétaire à la presse, a annoncé que les troupes américaines quitteraient la Syrie.","Tard dimanche, le président des États-Unis Donald Trump, dans une déclaration transmise par le porte-parole, a annoncé que les troupes américaines quitteraient la Syrie.","L'après-midi, le président américain Donald Trump a annoncé que les troupes américaines seraient à l'exclusion de la Syrie."
10,"Although Winfrey was tearful in her farewell, she made it clear to her fans she will be back.","Malgré les larmes versées lors de ses adieux, Oprah Winfrey a clairement dit à ses fans qu'elle serait de retour.","Bien que Winfrey ait pleuré dans ses adieux, elle a dit clairement à ses fans qu'elle sera de retour.","Bien que Winfrey ait été en larmes lors de ses adieux, elle a clairement indiqué à ses fans qu'elle reviendra.","Même si Winfrey a été tremblée lors de son farewell, elle a fait clairement à ses fans qu'elle s'arrivera."
11,"Thirty-two split-skin grafts were studied and these were placed into two groups based on the nature of the bed of excision: group I consisted of patients who underwent tangential excision and split-skin grafting (n=17), and group II consisted of patients with split-skin grafts placed onto fascial beds (n=15).","Trente-deux greffes de demi-épaisseur ont été étudiées et elles ont été classées en deux groupes selon la nature du lit d’excision : groupe I, composé de patients ayant subi une excision tangentielle et une greffe de demi-épaisseur (n = 17) et groupe II, comportant des patients ayant subi des greffes de demi-épaisseur de fascias (n = 15).","Trente-deux greffes de peau fendue ont été étudiées et placées en deux groupes selon la nature du lit d'excision : le groupe I était composé de patients ayant subi une excision tangentielle et une greffe de peau fendue (n=17), et le groupe II était composé de patients ayant des greffes de peau fendue placées sur des lits fasciaux (n=15).","Trente-deux greffes de peau mince ont été étudiées et réparties en deux groupes selon la nature du lit d'excision : le groupe I était composé de patients ayant subi une excision tangentielle et une greffe de peau mince (n=17), et le groupe II était composé de patients avec des greffes de peau mince placées sur des lits fasciaux (n=15).",Thirty-two grafts de sèvres à sèvres ont été étudiés et les grafts ont été établies dans deux groupes selon la nature de la cote d'excision : groupe I consiste à des patients qui ont undergone l'excision tangentiale et l'étayage à sèvres
12,Metrics for quantifying antimicrobial use in beef feedlots.,RésuméParamètres pour quantifier l’utilisation des antimicrobiens dans les parcs d’engraissement des bovins.,Mesures pour quantifier l'utilisation d'antimicrobiens dans les parcs d'engraissement du boeuf.,Métriques pour quantifier l'utilisation d'antimicrobiens dans les feedlots de bœuf.,Métriques pour quantifier l'utilisation antimicrobiens dans les étoiles de bétail.
13,Its all-pervading power affected everyone from king to commoner.,"Son pouvoir omniprésent touchait tout le monde, du roi au roturier.",Son pouvoir tout-pervade a affecté tout le monde du roi au communier.,"Son pouvoir omniprésent a affecté tout le monde, du roi au roturier.","Il a eu une puissance omniprésente qui a affecté tous, du roi à la comménère."
14,This will allow players to control actions and movements in video games by moving the device through the air.,Cela permettra aux joueurs de contrôler les actions et les mouvements dans les jeux vidéo en déplaçant l’appareil dans l’air.,Cela permettra aux joueurs de contrôler les actions et les mouvements dans les jeux vidéo en déplaçant l'appareil dans les airs.,Cela permettra aux joueurs de contrôler les actions et les mouvements dans les jeux vidéo en déplaçant l'appareil dans l'air.,Cela permettra aux joueurs de contrôler les actions et les mouvements dans les jeux vidéos en movant le dispositif à travers l'air.
